,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
27,2014 Cadillac,XTS,base,"51,318 miles",0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,18 City,28 Hwy,1,"$22,990",https://www.carvana.com/vehicle/2126620
28,2018 Honda,Civic,EX-T,"28,829 miles",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,31 City,42 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2069604
29,2020 Nissan,Sentra,SV,"7,250 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29 City,39 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2143778
30,2019 Nissan,Altima,2.5 S,"62,706 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,28 City,39 Hwy,1,"$23,590",https://www.carvana.com/vehicle/2076211
31,2016 Audi,Q3,Premium Plus,"76,249 miles",1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,20 City,29 Hwy,1,"$24,590",https://www.carvana.com/vehicle/2171436
32,2019 Kia,Optima,LX,"6,969 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24 City,33 Hwy,1,"$24,590",https://www.carvana.com/vehicle/2106498
33,2018 Toyota,Camry,LE,"70,822 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$22,990",https://www.carvana.com/vehicle/2054691
34,2017 Honda,Civic,Sport,"50,945 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30 City,36 Hwy,1,"$23,990",https://www.carvana.com/vehicle/2135428
35,2020 Kia,Optima,LX,"32,089 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24 City,32 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2040250
36,2021 Nissan,Versa,S,"2,850 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,32 City,40 Hwy,1,"$22,990",https://www.carvana.com/vehicle/2143662
