,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
345,2012 Honda,CR-V,LX,"90,016 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2155243
346,2012 FIAT,500,Abarth,"85,858 miles",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,28 City,34 Hwy,1,"$14,990 ",https://www.carvana.com/vehicle/1975064
347,2012 Mercedes-Benz,CL-Class,CL 63 AMG,"58,441 miles",1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,15 City,22 Hwy,1,"$45,990 ",https://www.carvana.com/vehicle/2126596
348,2012 Volvo,XC70,3.2,"64,377 miles",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,19 City,25 Hwy,1,"$20,590 ",https://www.carvana.com/vehicle/2175958
349,2012 Honda,Civic,LX,"36,980 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,36 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/1886391
350,2012 Lexus,LS,LS 460,"70,958 miles",1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,16 City,23 Hwy,1,"$28,990 ",https://www.carvana.com/vehicle/2031507
351,2012 Volkswagen,Beetle,2.0T Turbo,"36,902 miles",1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2177719
352,2012 Honda,CR-V,EX,"72,073 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$19,590 ",https://www.carvana.com/vehicle/2111921
353,2012 Hyundai,Sonata,SE,"41,777 miles",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,24 City,35 Hwy,1,"$16,590 ",https://www.carvana.com/vehicle/2024248
354,2012 Hyundai,Tucson,GL,"58,712 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22 City,29 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2093232
