,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,model_cat,details_cat,make_cat
6964,41787,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,17,24,39590,2014,447,787,3
6965,8339,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,16,28,55590,2014,107,646,6
6966,6546,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,16,24,34590,2013,82,600,6
6967,60964,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,17,25,44590,2013,338,566,25
6968,70800,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17,21,27590,2014,419,629,17
6969,45979,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30990,2012,389,475,38
6970,20203,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,14,19,29590,2013,356,572,11
6971,50679,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17,21,29590,2014,419,629,17
6972,48670,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,20,30,33990,2014,16,156,3
6973,45507,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,14,19,37990,2014,148,467,10
6974,75829,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,18,28,26990,2013,34,487,2
6975,25754,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,16,24,30590,2014,82,600,6
6976,50872,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,18,24,30990,2014,360,394,6
6977,50860,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,28590,2014,181,328,20
6978,32506,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,18,24,34590,2014,354,570,11
6979,64677,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30,39,13990,2014,351,530,28
6980,13077,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,15,24,30990,2014,82,600,6
6981,74863,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,16,20,30990,2014,419,717,17
6982,30654,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,19,29,27990,2014,209,398,6
6983,24525,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,17,29,52990,2014,107,646,6
6984,27673,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,15,26,30990,2014,262,331,10
6985,54495,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,14,19,29990,2012,148,762,10
6986,55000,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,15,21,27590,2014,162,607,28
6987,47159,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,19,28990,2013,360,392,6
6988,46415,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,20,29,46990,2014,55,778,30
6989,41714,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,19,28,25990,2014,74,24,5
6990,59675,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,17,24,25990,2014,196,422,17
6991,72860,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,16,20,33990,2014,419,716,17
6992,37991,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,24,32,29590,2014,32,487,2
6993,14940,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,15,24,61990,2013,262,623,10
6994,64000,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,15,21,29990,2014,148,603,10
6995,18700,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,16,24,34990,2014,82,600,6
6996,9504,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18,26,29990,2013,15,778,28
6997,39731,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,16,23,34990,2014,361,400,6
6998,62752,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,18,26,26990,2014,291,778,15
6999,76849,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,15,21,28590,2014,445,578,11
7000,42902,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,21,29,55590,2014,55,530,30
7001,8145,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,15,21,39990,2014,146,298,10
7002,34372,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21,30,28990,2014,207,359,20
7003,71199,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,19,27,27990,2013,207,367,20
7004,53498,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21,30,25990,2014,207,359,20
7005,8820,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,18,24,28990,2014,364,737,6
7006,48674,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,16,28,44990,2014,107,645,6
7007,21636,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,17,29,48590,2014,107,645,6
7008,51507,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17,20,45990,2014,150,778,38
7009,16482,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,17,21,34990,2014,389,475,38
7010,25498,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,15,26,32590,2014,262,330,10
7011,49554,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,17,25,45990,2013,338,566,25
7012,31577,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,17,29,50590,2014,107,646,6
7013,67974,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,14,19,31990,2014,172,310,25
7014,60696,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,22,31,42990,2014,55,778,30
7015,33300,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,19,31,20990,2011,262,482,10
7016,43778,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,20,30,30590,2013,32,45,2
