,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
636,2013 Audi,A5,2.0T Premium,"34,553 miles",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,20 City,30 Hwy,1,"$26,590 ",https://www.carvana.com/vehicle/2116972
637,2013 Lexus,IS,IS 250,"17,537 miles",1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21 City,30 Hwy,1,"$27,590 ",https://www.carvana.com/vehicle/2123409
638,2013 Volkswagen,Eos,Komfort,"46,582 miles",1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/1966023
639,2013 MINI,Hardtop,Cooper,"70,243 miles",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,36 Hwy,1,"$15,590 ",https://www.carvana.com/vehicle/2072105
640,2013 GMC,Sierra 2500 HD Crew Cab,Denali 6 1/2 ft,"63,158 miles",0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"$44,990 ",https://www.carvana.com/vehicle/2123771
641,2013 Maserati,GranTurismo,Sport,"52,992 miles",1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,13 City,21 Hwy,1,"$45,590 ",https://www.carvana.com/vehicle/2077965
642,2013 BMW,3 Series,335i,"44,485 miles",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,23 City,33 Hwy,1,"$27,590 ",https://www.carvana.com/vehicle/2126133
643,2013 Lexus,RX,RX 350,"86,360 miles",1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2012240
644,2013 Honda,Fit,base,"76,220 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,33 Hwy,1,"$15,590 ",https://www.carvana.com/vehicle/2057279
645,2013 Volkswagen,Beetle,2.5L,"55,463 miles",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21 City,27 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2099706
646,2013 Toyota,Corolla,S,"79,962 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/1950792
647,2013 MINI,Roadster,Cooper S,"78,863 miles",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,26 City,35 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/1886486
648,2013 Lexus,ES,ES 350,"64,877 miles",1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,21 City,31 Hwy,1,"$24,590 ",https://www.carvana.com/vehicle/2079853
649,2013 Mercedes-Benz,SLK-Class,SLK 250,"70,682 miles",1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,23 City,33 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/1982362
650,2013 Toyota,Corolla,LE,"76,124 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2079826
651,2013 Toyota,Corolla,LE,"69,011 miles",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2079962
652,2013 Honda,Civic,LX,"46,438 miles",1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/2046970
653,2013 Honda,Accord,LX,"81,560 miles",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,36 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2080180
654,2013 Ford,Escape,SE,"54,093 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23 City,33 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/2015604
655,2013 Volkswagen,Golf,TDI,"62,635 miles",1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,30 City,42 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2086841
656,2013 Honda,Civic,EX-L,"44,099 miles",1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2089996
657,2013 Audi,A5,2.0T Premium Plus,"63,308 miles",1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,"$24,990 ",https://www.carvana.com/vehicle/2092128
658,2013 Honda,Civic,EX,"54,197 miles",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2107626
659,2013 Volkswagen,Passat,2.5L SE,"59,467 miles",1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,22 City,31 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2107815
660,2013 Chevrolet,Cruze,LT,"84,875 miles",1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,26 City,38 Hwy,1,"$13,990 ",https://www.carvana.com/vehicle/2089221
661,2013 Honda,Civic,EX,"54,197 miles",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2107626
662,2013 Volkswagen,Passat,2.5L SE,"59,467 miles",1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,22 City,31 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2107815
663,2013 Chevrolet,Cruze,LT,"84,875 miles",1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,26 City,38 Hwy,1,"$13,990 ",https://www.carvana.com/vehicle/2089221
664,2013 Volkswagen,Tiguan,2.0T S 4Motion,"26,352 miles",1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,20 City,26 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2089235
665,2013 BMW,1 Series,128i,"35,137 miles",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,18 City,28 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2089337
666,2013 Hyundai,Sonata,Limited,"79,904 miles",1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,22 City,34 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/2107304
