,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
0,2011 Mercedes-Benz,E-Class,E 350,"55,532 miles",1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,17 City,25 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2044380
1,2011 INFINITI,G,G37x,"47,082 miles",1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2110876
2,2011 BMW,3 Series,328i,"28,806 miles",1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,"$24,990 ",https://www.carvana.com/vehicle/2077247
3,2011 INFINITI,G,G37 Journey,"55,885 miles",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19 City,27 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2003209
4,2011 BMW,3 Series,335i,"57,563 miles",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,"$23,990 ",https://www.carvana.com/vehicle/2104056
5,2011 Chevrolet,Camaro,LT,"40,832 miles",1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,18 City,29 Hwy,1,"$23,590 ",https://www.carvana.com/vehicle/2112755
6,2011 Mercedes-Benz,E-Class,E 350,"84,465 miles",1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,17 City,24 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2099857
7,2011 BMW,3 Series,328i xDrive,"63,635 miles",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,"$17,590 ",https://www.carvana.com/vehicle/1993945
8,2011 Ford,Explorer,XLT,"75,820 miles",1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,17 City,25 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2170811
9,2011 BMW,3 Series,328i,"28,197 miles",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,"$25,590 ",https://www.carvana.com/vehicle/2139319
10,2011 BMW,M3,base,"71,504 miles",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,14 City,20 Hwy,1,"$32,990 ",https://www.carvana.com/vehicle/2145204
11,2011 BMW,3 Series,335d,"72,851 miles",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,"$18,990 ",https://www.carvana.com/vehicle/2012278
12,2011 Chevrolet,Camaro,LT,"47,004 miles",1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,17 City,28 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2104050
13,2011 Mercedes-Benz,C-Class,C 300 Luxury,"64,806 miles",1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,18 City,26 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2145617
14,2011 Mercedes-Benz,E-Class,E 350,"81,166 miles",1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,17 City,24 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2122650
