,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,make
0,Altima,2.5 SR,57543,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,26,37,19990,2016,Nissan
1,Civic,LX,51210,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25,36,16990,2011,Honda
2,Focus,Titanium,19216,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,26,38,21990,2016,Ford
3,Passat,1.8T Wolfsburg Edition,54167,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,24,34,17590,2014,Volkswagen
4,EcoSport,S,11168,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,29,23990,2021,Ford
5,Tucson,Limited,62637,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,21,28,19590,2014,Hyundai
6,Sentra,SV,21995,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,38,18990,2016,Nissan
7,Camaro,LT,45542,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,19,30,22990,2014,Chevrolet
8,HR-V,EX,85965,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,31,22990,2018,Honda
9,Sonata,Sport,22888,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25,36,21990,2017,Hyundai
10,Fiesta,SE,41746,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27,35,15990,2016,Ford
11,Civic,LX,41428,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,18590,2013,Honda
12,500X,Easy,55664,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22,31,17590,2016,FIAT
13,Soul,+,66346,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25,30,18990,2019,Kia
14,Civic,LX,87700,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,16990,2014,Honda
15,Cruze,LT,75145,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,29,38,17590,2017,Chevrolet
16,Spark EV,2LT,49060,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14990,2015,Chevrolet
17,Sentra,S,51846,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,37,19590,2019,Nissan
18,Fit,EX,42963,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,29,36,20990,2017,Honda
19,Rogue Sport,S,73823,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,25,32,19990,2018,Nissan
20,3 Series,320i xDrive,38971,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,23,35,24990,2016,BMW
21,Traverse,LS,42499,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,15,22,24990,2016,Chevrolet
22,Civic,LX-P,24800,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,22990,2017,Honda
23,Mustang,V6,50757,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,18,27,24990,2017,Ford
24,Camry,SE,73378,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,28,39,24590,2018,Toyota
25,Malibu,LT,31634,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,29,36,24590,2020,Chevrolet
26,CX-3,base,3750,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,34,24990,2019,Mazda
27,XTS,base,51318,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,18,28,22990,2014,Cadillac
28,Civic,EX-T,28829,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,31,42,24990,2018,Honda
29,Sentra,SV,7250,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,39,24990,2020,Nissan
30,Altima,2.5 S,62706,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,28,39,23590,2019,Nissan
31,Q3,Premium Plus,76249,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,20,29,24590,2016,Audi
32,Optima,LX,6969,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,33,24590,2019,Kia
33,Camry,LE,70822,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,28,39,22990,2018,Toyota
34,Civic,Sport,50945,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,36,23990,2017,Honda
35,Optima,LX,32089,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,32,24990,2020,Kia
36,Versa,S,2850,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,32,40,22990,2021,Nissan
37,i3,base,48249,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,19990,2015,BMW
38,S60,T5 Premier,47156,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20590,2015,Volvo
39,Grand Cherokee,Limited,92137,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,21,28,23990,2014,Jeep
40,Corolla Hatchback,SE,28332,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,32,42,24590,2019,Toyota
41,Corolla,LE,22968,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,38,24990,2021,Toyota
42,Corolla,LE,11024,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,38,24990,2021,Toyota
43,Taurus,SEL,33900,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,21990,2017,Ford
44,Rogue Sport,SV,55786,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,25,32,21990,2018,Nissan
45,Rio,LX,21437,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,36,17590,2017,Kia
46,Versa,S Plus,48509,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,40,15990,2016,Nissan
47,Escape,SE,45923,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,23,30,21990,2018,Ford
48,Accord,EX,88279,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,23,34,16990,2012,Honda
49,CTS,3.6 Luxury Collection,82200,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,21990,2014,Cadillac
50,Sorento,LX,68547,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,22,29,24990,2019,Kia
51,Malibu,LS,34056,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25,36,18590,2015,Chevrolet
52,Malibu,LT,33825,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25,36,19990,2015,Chevrolet
53,Versa,SV,52724,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,39,18590,2019,Nissan
54,Forester,2.5i Premium,90692,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,26,32,21990,2017,Subaru
55,Rogue Sport,S,26232,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,25,32,21990,2017,Nissan
56,Cruze,LS,24242,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,40,18990,2017,Chevrolet
57,Outlander Sport,ES,49018,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,30,21590,2019,Mitsubishi
58,300,300,77832,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,18,27,18990,2014,Chrysler
59,MAZDA5,Touring,50389,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,21,28,17990,2015,Mazda
60,Accord,EX-L,47653,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,21990,2013,Honda
61,Cherokee,Latitude Plus,50460,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,19,25,24990,2018,Jeep
62,MAZDA6,i Grand Touring,68032,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,28,40,20990,2016,Mazda
63,MAZDA6,i Touring,60467,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,26,38,20990,2016,Mazda
64,IS,IS 250C,94743,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,21,30,23990,2012,Lexus
65,A6,2.0T Premium Plus,63959,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,23990,2015,Audi
66,Civic,SE,31682,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,19990,2015,Honda
67,Renegade,Latitude,35443,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,23990,2018,Jeep
68,Corolla,LE,61867,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,36,18590,2017,Toyota
69,Rogue,SV,80355,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,26,33,20590,2017,Nissan
70,Taurus,SEL,33860,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,18,27,23990,2018,Ford
71,Journey,SXT,39808,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,19,26,20590,2016,Dodge
72,Civic,LX,48396,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,40,21990,2018,Honda
73,JUKE,SV,81790,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,32,17990,2016,Nissan
74,Corolla Hatchback,SE,21769,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,32,42,24990,2019,Toyota
75,Passat,1.8T SE,60215,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,23,34,20990,2017,Volkswagen
76,Altima,2.5 S,49447,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,27,38,17990,2015,Nissan
77,Jetta,2.0T GLI,31963,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,24,32,21590,2013,Volkswagen
78,Cruze,LT,58449,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,28,38,19590,2019,Chevrolet
79,Rogue,S,50942,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25,32,23590,2018,Nissan
80,ES,ES 350,51335,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21,31,24990,2015,Lexus
81,500,Pop,52922,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,40,13990,2015,FIAT
82,Trax,LT,52304,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,30,19990,2017,Chevrolet
83,Fiesta,ST,34063,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,26,32,23990,2016,Ford
84,500,Easy,74371,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,40,13990,2016,FIAT
85,Camry,XSE,30624,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,25,35,22590,2015,Toyota
86,Elantra,SE,81012,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,29,38,16590,2017,Hyundai
87,Civic,EX,44600,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,31,40,22990,2017,Honda
88,Accord,Sport,64511,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,26,34,22990,2017,Honda
89,Patriot,Sport,34827,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,22,26,19990,2017,Jeep
90,Sonata,SE,27121,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,26,35,23590,2019,Hyundai
91,Rogue Sport,S,48544,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,25,32,23590,2019,Nissan
92,Civic,EX-L,10029,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,30,39,22990,2014,Honda
93,Patriot,High Altitude Edition,50972,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20990,2017,Jeep
94,RAV4,LE,34904,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,23,30,24990,2017,Toyota
95,Hardtop 2 Door,Cooper,15587,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,27,35,24990,2018,MINI
96,Beetle,1.8T SEL,20093,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,25,34,24990,2016,Volkswagen
97,Highlander,LE Plus,79126,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,19,25,24990,2014,Toyota
98,ES,ES 350,94914,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,19,27,17990,2010,Lexus
99,Cherokee,Latitude,80858,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,22,31,19990,2015,Jeep
100,MAZDA6,i Touring,24190,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,28,40,24590,2016,Mazda
101,RAV4,base,94806,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22,28,16990,2010,Toyota
102,Impala,LT,20584,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,24990,2017,Chevrolet
103,RDX,base,64514,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,20,28,22590,2014,Acura
104,Rogue,S,36740,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,26,33,22990,2018,Nissan
105,Sentra,S,32120,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,35,16990,2017,Nissan
106,Outlander,SE,51107,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25,30,21590,2018,Mitsubishi
107,Elantra,SE,54638,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,26,36,17990,2017,Hyundai
108,Cherokee,Latitude,82865,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,22,31,19990,2016,Jeep
109,Elantra,SE,18798,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,41,21990,2020,Hyundai
110,Focus,SE,43621,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26,36,18990,2015,Ford
111,Malibu,LT,70662,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,29,36,20990,2019,Chevrolet
112,Malibu,LT,75574,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,27,36,18990,2017,Chevrolet
113,Mustang,V6,47351,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24990,2016,Ford
114,Elantra,SEL,56884,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,40,20590,2020,Hyundai
115,Jetta,1.4T S,69833,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,40,18990,2019,Volkswagen
116,Versa,SV,56571,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,39,16990,2019,Nissan
117,Sentra,S,11362,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,35,19990,2019,Nissan
118,Tucson,GLS,63549,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22,30,16990,2010,Hyundai
119,Trax,LS,12478,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,26,31,24990,2021,Chevrolet
120,Accord,LX,45875,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,36,20990,2015,Honda
121,LEAF,SV,32180,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24990,2019,Nissan
122,Hardtop,Cooper,20302,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,36,19990,2013,MINI
123,Fusion,SE,35265,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,21,32,21990,2018,Ford
124,MAZDA3,Grand Touring,24979,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,27,36,23990,2017,Mazda
125,Edge,SEL,90073,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,18590,2013,Ford
126,Jetta,2.0L S,39239,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23,29,17990,2014,Volkswagen
127,Charger,R/T,76834,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,16,25,20990,2011,Dodge
128,Hardtop,Cooper S,59388,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,38,18590,2014,MINI
129,Volt,LT,44378,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22990,2018,Chevrolet
130,Journey,SE,48427,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19,25,22990,2018,Dodge
131,Edge,Titanium,65934,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,20,30,22990,2015,Ford
132,Fit,Sport,48310,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,27,33,17990,2012,Honda
133,Lancer,ES,52478,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,34,17990,2017,Mitsubishi
134,Soul,+,45458,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,24,31,18990,2016,Kia
135,Civic,LX,46588,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,18590,2015,Honda
136,Kicks,S,22131,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,36,22990,2019,Nissan
137,MAZDA3,Preferred,17402,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,26,35,24990,2019,Mazda
138,Renegade,Latitude,38757,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23990,2018,Jeep
139,Civic,LX,78191,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,19590,2017,Honda
140,Rogue,S,66161,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,25,32,22990,2019,Nissan
141,Fusion,SE,57198,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,20,29,23590,2019,Ford
142,Fusion,S,53075,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,21,32,20590,2018,Ford
143,Cruze,LS,74767,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,38,18990,2019,Chevrolet
144,LEAF,S-24,37126,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16990,2016,Nissan
145,Pathfinder,SV,94755,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,26,18990,2013,Nissan
146,Elantra,SE,37569,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,29,38,18990,2017,Hyundai
147,CR-V,EX,69648,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,21,28,17990,2010,Honda
148,Optima,LX,46261,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,25,37,18990,2016,Kia
149,MAZDA3,Touring,45860,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,28,37,20990,2017,Mazda
150,SRX,base,64590,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,17,24,20590,2012,Cadillac
151,Civic,LX,35764,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,19990,2015,Honda
152,Jetta,2.0L S,64293,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,29,18990,2013,Volkswagen
153,LaCrosse,Essence,58840,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,21,31,24990,2017,Buick
154,Malibu,LS,37711,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,27,36,20590,2017,Chevrolet
155,Fusion,S,26297,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,21,31,22990,2019,Ford
156,124 Spider,Abarth,40270,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,25,36,24990,2017,FIAT
157,Altima,2.5 SV,58955,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,27,38,21990,2018,Nissan
158,Accord,Sport,90298,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,26,35,19590,2015,Honda
159,Sonata,SE,78000,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25,36,18990,2018,Hyundai
160,Corolla iM,base,30975,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,35,22990,2018,Toyota
161,Patriot,High Altitude Edition,60678,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,22,27,19990,2016,Jeep
162,CR-V,EX-L,28891,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,21,28,21590,2011,Honda
163,Edge,Titanium,79212,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,18,26,23990,2016,Ford
164,TT,Quattro Premium Plus,31325,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23,31,27590,2012,Audi
165,Altima,2.5 S,61821,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,38,20590,2018,Nissan
166,Sentra,SV,27429,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,29,38,17990,2016,Nissan
167,Optima,LX,47019,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,34,21590,2018,Kia
168,Grand Cherokee,Laredo,66720,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19,26,27590,2018,Jeep
169,Rio,LX,47741,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28,37,17590,2018,Kia
170,Sentra,S,34836,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,37,18990,2018,Nissan
171,RAV4,XLE,70920,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,23,30,25990,2018,Toyota
172,Optima,LX,45268,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,24,34,21590,2018,Kia
173,RLX,base,84914,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,20,31,22990,2014,Acura
174,Malibu,LT,42525,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25,36,18590,2014,Chevrolet
175,Malibu,LS,57480,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,36,20990,2018,Chevrolet
176,Enclave,Leather,76487,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,17,24,21990,2014,Buick
177,Optima,LX,43710,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,34,21590,2018,Kia
178,Altima,2.5 SR,33426,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,27,39,21990,2017,Nissan
179,LaCrosse,Leather,26638,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,17,27,21990,2013,Buick
180,Camry,Hybrid LE,24422,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,43,39,22990,2015,Toyota
181,Corolla,LE,9185,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,34,19990,2013,Toyota
182,Beetle,2.0T S,28937,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,26,33,24990,2018,Volkswagen
183,Sorento,LX,50684,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,26990,2020,Kia
184,HR-V,EX-L,32797,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,28,35,24590,2016,Honda
185,200,200C,34779,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,23,36,20590,2015,Chrysler
186,Envision,Essence,54543,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,22,29,24990,2017,Buick
187,Sentra,SV,84051,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,37,16990,2018,Nissan
188,Spark,LS,6974,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,38,19990,2021,Chevrolet
189,Grand Cherokee,Laredo,72515,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,19,26,27590,2018,Jeep
190,LEAF,SV,23497,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23990,2018,Nissan
191,Corolla,L,47185,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27,36,18990,2015,Toyota
192,Volt,LT,30441,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24590,2018,Chevrolet
193,300,Limited,33551,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,19,31,20990,2012,Chrysler
194,Forte,LXS,28174,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,40,22990,2021,Kia
195,Civic,LX,70821,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,17590,2013,Honda
196,RDX,base,52069,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,20,28,23990,2013,Acura
197,Focus,Titanium,41837,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,26,38,17990,2016,Ford
198,Civic,EX w/Honda Sensing,44694,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,40,23990,2018,Honda
199,Acadia,SLT,53598,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,21,27,34590,2020,GMC
200,Spark,LS,66704,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,29,38,15590,2019,Chevrolet
201,Explorer,XLT,29270,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,24,33590,2019,Ford
202,Civic,EX-L,64351,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,32,42,22990,2017,Honda
203,CX-5,Touring,88198,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,24,30,20990,2016,Mazda
204,Avalon,XLE,87678,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,21,31,22590,2016,Toyota
205,Altima,2.5 S,69515,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,27,38,19590,2018,Nissan
206,Forte5,LX,8453,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,25,34,19590,2017,Kia
207,Accord,LX,18682,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,38,26990,2019,Honda
208,Cherokee,Latitude Plus,57970,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,21,30,24990,2019,Jeep
209,Pathfinder,S,49063,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,20,27,21590,2015,Nissan
210,Fusion,SE,40753,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,23,34,21990,2019,Ford
211,LaCrosse,Leather,24109,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,25,36,22990,2014,Buick
212,Corolla,LE,21779,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,28,36,22590,2019,Toyota
213,Kicks,SV,15344,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,36,24990,2020,Nissan
214,Passat,2.0T S,39818,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,25,36,21990,2018,Volkswagen
215,Soul,LX,26172,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25,31,22990,2021,Kia
216,Avalon,XLE Touring,73346,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,21,31,23590,2013,Toyota
217,Edge,SE,63648,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,18990,2014,Ford
218,Trax,LS,58893,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,25,33,17990,2017,Chevrolet
219,4Runner,Limited,100844,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,17,21,34590,2016,Toyota
220,Optima,LX,62578,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,34,19590,2018,Kia
221,Sorento,LX,41476,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,20,27,21590,2015,Kia
222,Camry,SE,100081,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,25,35,17990,2016,Toyota
223,Accent,SE,23542,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,33,41,19590,2020,Hyundai
224,Sonata,Sport,59050,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,24,35,18990,2015,Hyundai
225,Malibu,LT,54327,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,27,37,19990,2016,Chevrolet
226,500,Pop,23152,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,32,20990,2019,FIAT
