,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,make
6210,M,M37,66515,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,18,26,23590,2013,INFINITI
6211,CR-V,EX-L,47287,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,23,31,22990,2013,Honda
6212,3 Series,335i,44485,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,23,33,27590,2013,BMW
6213,Civic,LX,81808,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,16990,2013,Honda
6214,M,M37,92409,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,18,26,20990,2013,INFINITI
6215,500,Abarth,31862,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,34,16590,2013,FIAT
6216,Sonata,GLS,47086,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,24,35,17590,2013,Hyundai
6217,Santa Fe Sport,2.0T,63774,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,20,27,19590,2013,Hyundai
6218,ES,ES 350,48947,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,21,31,24990,2013,Lexus
6219,GTI,Hatchback,42088,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,24,33,20990,2013,Volkswagen
6220,RAV4,Limited,80851,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,24,31,21990,2013,Toyota
6221,Sonata,GLS,42618,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24,35,16590,2013,Hyundai
6222,IS,IS 250,77757,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,21,30,20990,2013,Lexus
6223,CC,Sport,61327,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,22,31,16990,2013,Volkswagen
6224,Elantra,Limited,70673,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,28,38,16990,2013,Hyundai
6225,Fit,Sport,70089,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,35,15990,2013,Honda
6226,Sonata,Limited,70731,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,24,35,16990,2013,Hyundai
