,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
0,2009 Porsche,Cayman,S,"24,280 miles",1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,20 City,29 Hwy,1,"$50,990 ",https://www.carvana.com/vehicle/2084754
1,2009 Cadillac,CTS,CTS-V,"38,577 miles",1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,14 City,19 Hwy,1,"$42,590 ",https://www.carvana.com/vehicle/2048738
2,2009 Volvo,C70,T5,"82,537 miles",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18 City,26 Hwy,1,"$14,990 ",https://www.carvana.com/vehicle/2097968
3,2009 Ford,Mustang,Shelby GT500,"17,475 miles",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,14 City,20 Hwy,1,"$39,990 ",https://www.carvana.com/vehicle/2080340
4,2009 Honda,Accord,LX,"34,778 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21 City,30 Hwy,1,"$15,590 ",https://www.carvana.com/vehicle/2070268
5,2009 Ford,Mustang,GT Premium,"57,812 miles",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15 City,23 Hwy,1,"$21,990 ",https://www.carvana.com/vehicle/1855348
6,2009 Chevrolet,Corvette,base,"48,310 miles",1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,15 City,25 Hwy,1,"$34,590 ",https://www.carvana.com/vehicle/2113510
7,2009 Chevrolet,Tahoe,LTZ,"98,757 miles",1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,14 City,20 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2161699
8,2009 Mercedes-Benz,SL-Class,SL 550,"68,141 miles",1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,13 City,21 Hwy,1,"$29,990 ",https://www.carvana.com/vehicle/2094039
9,2009 Mercedes-Benz,CLK-Class,CLK 350,"38,057 miles",1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,17 City,25 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/2103577
10,2009 Ford,Mustang,Shelby GT500,"13,250 miles",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14 City,20 Hwy,1,"$41,590 ",https://www.carvana.com/vehicle/2048040
11,2009 Toyota,Tacoma Regular Cab,6 ft,"66,938 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20 City,26 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2135139
12,2009 Toyota,Avalon,XL,"84,687 miles",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19 City,28 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/1404817
13,2009 Volvo,C70,T5,"54,167 miles",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,18 City,26 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2167887
14,2009 Mercedes-Benz,SL-Class,SL 550,"48,593 miles",1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,13 City,21 Hwy,1,"$34,590 ",https://www.carvana.com/vehicle/2099835
