,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
0,2010 Chevrolet,Camaro,SS,"51,279 miles",1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,"$24,990 ",https://www.carvana.com/vehicle/2044347
1,2010 BMW,3 Series,328i,"60,094 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,18 City,27 Hwy,1,"$19,590 ",https://www.carvana.com/vehicle/1982293
2,2010 Ford,Mustang,GT Premium,"46,761 miles",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,16 City,24 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2129115
3,2010 Lexus,IS,IS 250 Sport,"91,315 miles",1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,21 City,29 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2161510
4,2010 Chevrolet,Camaro,SS,"54,773 miles",1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,16 City,25 Hwy,1,"$25,990 ",https://www.carvana.com/vehicle/2087430
5,2010 Dodge,Challenger,SRT8,"31,807 miles",1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,13 City,19 Hwy,1,"$31,990 ",https://www.carvana.com/vehicle/2105260
6,2010 Cadillac,SRX,base,"78,684 miles",1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,"$15,990 ",https://www.carvana.com/vehicle/2132403
7,2010 Dodge,Challenger,R/T,"22,281 miles",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,16 City,25 Hwy,1,"$28,990 ",https://www.carvana.com/vehicle/2095988
8,2010 Ford,Mustang,Shelby GT500,"27,955 miles",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14 City,22 Hwy,1,"$42,590 ",https://www.carvana.com/vehicle/2038499
9,2010 Acura,TSX,base,"96,175 miles",1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,21 City,30 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2171295
10,2010 Chevrolet,Camaro,SS,"34,844 miles",1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,"$28,590 ",https://www.carvana.com/vehicle/2142355
11,2010 Mercedes-Benz,SLK-Class,SLK 300,"62,967 miles",1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,19 City,26 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/1941535
12,2010 Chevrolet,Camaro,SS,"33,585 miles",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,16 City,25 Hwy,1,"$28,590 ",https://www.carvana.com/vehicle/2104590
13,2010 BMW,3 Series,328i,"79,571 miles",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,18 City,27 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2008219
14,2010 Buick,LaCrosse,CXL,"60,799 miles",1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,16 City,25 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2079684
15,2010 Ford,Mustang,Shelby GT500,"19,606 miles",1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,14 City,22 Hwy,1,"$47,990 ",https://www.carvana.com/vehicle/2056701
16,2010 Ford,Taurus,Limited,"40,558 miles",1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,"$16,590 ",https://www.carvana.com/vehicle/2055732
17,2010 BMW,Z4,sDrive35i,"81,265 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,17 City,24 Hwy,1,"$25,990 ",https://www.carvana.com/vehicle/2168234
18,2010 Chevrolet,Camaro,SS,"61,536 miles",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,16 City,25 Hwy,1,"$26,590 ",https://www.carvana.com/vehicle/2150920
19,2010 Toyota,RAV4,base,"94,806 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22 City,28 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2126252
20,2010 Jaguar,XK,XK,"57,903 miles",0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,16 City,22 Hwy,1,"$29,990 ",https://www.carvana.com/vehicle/2108366
21,2010 Chevrolet,Camaro,SS,"61,536 miles",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,16 City,25 Hwy,1,"$26,590 ",https://www.carvana.com/vehicle/2150920
22,2010 Lexus,ES,ES 350,"73,929 miles",0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,19 City,27 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2090534
23,2010 Mercedes-Benz,E-Class,E 350 4MATIC,"82,586 miles",0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,17 City,24 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2015501
24,2010 Chevrolet,Camaro,SS,"9,336 miles",1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,16 City,24 Hwy,1,"$29,990 ",https://www.carvana.com/vehicle/2118290
25,2010 Chevrolet,Camaro,SS,"11,938 miles",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,"$31,990 ",https://www.carvana.com/vehicle/2164577
26,2010 Honda,Accord,EX-L,"74,914 miles",1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,"$16,990 ",https://www.carvana.com/vehicle/2168062
